"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12"
"1",717,201,1026.02856450818,21510,1.20083713134232,-904.430773962125,-1235.65346188786,-546.370196697078,-56522.8462019556,73443.1566871793,-0.927904075758693,0.380603509698477
"2",663,463,1130.76779929338,6630,-1.01239471215686,-925.023474267775,-1092.47088629047,-376.02974750555,35242.5970109292,70576.5783739627,0.0910803348108366,0.413444500986628
"3",138,556,448.416982164904,8004,2.64376783915373,522.786862132736,-570.241007198291,-851.367998662497,752.345088691217,20737.1499674451,-1.42818586786913,0.159429635454888
"4",721,697,878.935339294839,40376,0.18900611082607,-631.211925661453,-1553.28938719741,-673.979002832927,-5703.04164376469,30346.9153588702,0.971759872517698,0.635496417313038
"5",888,666,1437.90671118237,78144,-0.77288304005272,-857.099957810251,-620.623506913107,-348.996181433866,-21365.6364163878,94983.3531151413,0.594057903705372,-0.826071278560614
"6",362,507,862.789758005191,19910,-0.862294423872721,101.008644465943,-499.706624781101,-475.249577850813,26950.0517294753,35289.2279885675,-0.00721285248803018,0.424326309903857
"7",100,806,118.420680743952,2400,2.1153380550125,46.7136619418433,67.8357134777374,188.736154710434,4256.54048256259,-2604.68195677087,-1.06851613209909,-1.48762328491365
"8",221,116,339.759579433391,18122,0.457469154105548,-12.7810315119116,-250.049525669894,-277.720598705129,14622.8528590159,21168.4742635013,-0.642010063644623,1.22104189083085
"9",939,119,1274.3959584812,94839,0.776946983270731,-1163.62351043481,-864.351299048979,-1268.12457650061,14451.5606809222,81303.4709104154,0.878631676315843,0.752347924361561
"10",276,381,686.289263197352,11592,-0.527605658317229,-549.056728894671,-107.798738360329,381.188747499038,3442.44362303125,19327.0052995719,1.96749944114387,-0.672055643554236
"11",969,38,1532.85369817504,29070,0.463970885374456,-668.556106124375,-902.85048375082,-1169.38838402036,-59506.2935243708,75319.1454650277,0.675550494190201,-1.72453427186911
