"V1","V2","V3","V4","V5"
"1",386,14123.9005140105,23.1958923093871,96.3146973375555,16270.3011968627
"2",281,12893.7775513267,36.3807438035905,114.449669707696,8546.88657829994
"3",455,14893.0558869612,-31.9272402807732,65.8431634359946,12164.3900186369
"4",740,2727.83508804774,-21.7515590333948,128.792865364575,16091.8277620842
"5",335,13496.4555153306,13.4674964736723,122.739134902464,8602.50155970716
"6",401,7328.1460261917,35.9106090315281,59.9236670249362,10906.7530492443
"7",933,-20062.9944016362,-32.7954070592833,62.2003878174816,25504.8033311836
"8",848,38720.9801486544,-9.69633980390897,89.0922461295993,23651.1724761711
"9",738,-7121.19445525174,-18.0472180168685,153.484128341173,18394.7995848455
"10",613,9497.02576693521,9.17293959549914,91.9774266102852,17949.6923711425
"11",995,90301.8188962485,-42.7896433959714,104.403826351007,31061.6165293496
"12",847,-23029.0359486076,17.312838344815,96.827479896263,25193.2559668342
"13",523,-2028.52309785653,17.3827232781649,121.174239707182,9574.43583919764
"14",510,4319.97790330098,58.6096880953336,64.3697855007069,9133.32152879156
"15",779,17411.1540681662,35.989880435062,97.6309497401695,28375.1083499453
"16",375,-4562.90745743872,-5.83709294680339,143.019960575489,4562.18662161909
"17",196,-531.869993987732,71.1857237099878,76.8279340429983,2304.64955905189
"18",479,-5641.57526818964,-45.5720591516653,134.584093254726,4174.26974662893
"19",34,1080.52690072379,41.7118579686337,80.9685949059718,-2257.71277205205
"20",19,1121.69732395887,10.7333788225711,101.197512571264,35.7726457614958
"21",426,-6595.97002457527,-7.29023734313262,86.65036120601,14991.0545117892
"22",272,2081.91046841114,-3.50668713920504,111.026962049742,4671.68240558506
"23",107,3486.71323690782,16.3872455562804,85.6303278115556,774.955418324799
"24",181,3593.32384473207,34.3950031253281,134.193395954414,-1301.53955484632
"25",380,-2073.48615434285,11.0048781327766,148.873775477599,3554.17784813832
"26",631,-28222.3347650348,22.5341810280193,54.1033623221612,14249.2752852176
"27",594,-23857.4943890649,19.3077136378365,59.5910940378615,9648.17704287139
"28",758,40880.7618342014,47.7399714428198,162.039962962471,18201.0194950851
"29",425,9669.96977074872,11.7638179232439,19.0093483567847,8877.97935747298
"30",148,4292.55055037567,-3.06689354808342,91.2589755890067,1043.61771599391
"31",524,1990.74608457311,41.3775928431854,155.664129211677,14446.5255798696
"32",810,-56866.2267292638,-38.6924995969578,93.1481068975771,21173.9058533638
"33",867,24488.3476200948,64.2004429118301,42.5716752458225,25102.4150189574
"34",87,-814.742035659979,39.1952324052462,113.153055587045,1738.3124200843
"35",213,1426.39728528187,17.1548041532916,138.150107548764,-717.019249744812
"36",745,4737.16198452074,-10.343505094479,174.186753779777,24614.5848070096
"37",625,-9151.33320657604,65.7504554988018,152.760558441702,4762.9040163447
"38",398,10481.8197233744,-21.2670689469981,58.5304037518738,15161.5079435304
"39",794,-8319.26315269338,-14.4120636327774,82.1856476825455,24316.9373203763
"40",186,3743.52462470807,40.275986620992,21.9713477012359,4653.54829665891
"41",261,-8861.23734446874,-48.7040528585142,92.3903359125691,12945.9011541692
"42",576,44671.1463767282,49.8688478196325,101.928888273628,12875.9367303639
"43",188,3511.7140128648,20.9742450708569,126.438834934122,2957.69290915823
"44",224,955.035874150442,30.2908943998232,81.1662498070503,3258.57232881882
"45",264,958.773586629873,20.5365716422928,125.376180027132,-413.614870409645
"46",785,-15829.7756747104,-16.6852953952066,163.133801938945,27715.2022366102
"47",291,4276.08828531295,-24.9259578213672,89.6991502444916,11358.4815001246
"48",248,10639.7445584762,-6.88852735404236,101.483998530241,-5630.81851845443
"49",662,20510.7468272062,8.16896315605077,91.7762671435859,11092.4643306986
"50",173,-305.125915947087,-28.4376333319223,-0.613018239297091,-754.627820247972
"51",584,14100.6780771535,33.8758470261787,65.0056679693299,14514.7722784785
"52",944,-11976.7393903575,5.00172095355271,84.5107772685891,21292.27517641
"53",319,16232.6573538625,13.2702026137566,125.558291132666,13620.2496046717
"54",423,10266.2535978431,-20.9174857851151,121.885012435105,1300.31449517205
"55",128,-4237.15200740209,-15.8056180297828,132.148545378286,4280.81961134545
"56",808,-30201.8015362693,18.0702988789368,77.5961880417415,15499.5098286794
"57",590,14832.820068378,44.4589678999807,59.0001413394117,8270.6007925124
"58",726,34291.6649472091,4.58242994898523,90.9499928409592,20264.9483936539
"59",905,28274.0168848215,27.9070985535252,36.997615297945,26320.4245615003
"60",151,5930.3870793492,-34.9290874059031,79.0832813788778,464.585300690878
"61",131,-2013.69959944824,11.7517322560971,47.4133223312807,-622.077534054318
"62",447,-2774.0063008717,17.9156933813065,145.482382848945,8925.37915881283
"63",617,-1467.74656279352,37.877885392635,120.21869935589,11392.3261799765
"64",562,9695.46584820363,19.9656936968425,139.661491634443,9306.05619415538
"65",336,3872.79766359313,-51.4660869643698,98.0132945453692,7943.76425481444
"66",670,22961.3612236404,29.3738109493809,20.1013033786007,14397.1320935778
"67",17,-729.882245792172,-0.483698430421507,58.3963584534015,-7428.56875562956
"68",372,-3852.59528088087,2.99069055800753,169.968631892023,5599.22720118002
"69",919,4576.25954540877,-36.6167080873265,140.629197665544,26837.5947446556
"70",592,9654.10438166283,7.13458016561652,90.1139245334904,14195.7794013445
"71",399,7422.27391157607,7.88964299403455,138.371851203296,10026.3771654124
